objectid,parentid,title,architect,extension_architect,architect_url,donor,date_built,date_began,date_completed,status,date_demolished,area,current_use,description,campus,address,longitude,latitude,identifier,source,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,hidden
cb004_01,cb004,Drawing of Peterson Hall,,,,,,,,,,,,,,,,,PL006499,,Image;StillImage,image/jpg,,,,image,/objects/cb004_01.jpg,/objects/small/cb004_01_sm.jpg,/objects/thumbs/cb004_01_th.jpg,
cb004_02,cb004,Peterson Hall,,,,,,,,,,,,,,,,,PS005036,,Image;StillImage,image/jpg,,,,image,/objects/cb004_02.jpg,/objects/small/cb004_02_sm.jpg,/objects/thumbs/cb004_02_th.jpg,
cb005,,Burnside Hall,"Marshall, Merrett, Stahl, Elliott, and Mill",,,none,1970,,,Standing,,Engineering & Science,"Departments of Mathematics, Geography, and Atmospheric and Oceanic Sciences","Burnside Hall, named after the original home of James McGill, was built in 1970, by Marshall, Merrett, and Assoc., to meet the growing need for space in the Faculty of Science. This thirteen-storey structure was constructed of precast concrete slabs, with fixed, glazed windows, attached to a frame of reinforced concrete frame. Burnside is surrounded on three sides by other campus buildings: to the north is theMacdonald-Stewart Library(once the Macdonald Physics Building), to the northeast is thePulp and Paper Research Institute, to the east and south is theOtto Maass Chemistry Building. An underground tunnel system connects all of these edifices to the rest of the science and engineering complex. All of the large classrooms are located in the basement underneath Burnside's concrete terrace. There are many entrances to this area to facilitate traffic between classes and to minimize congestion in the tower itself. The first floor of Burnside is used as a lobby, the second was given to the Computing Centre, and the rest, serving the needs of the Departments of Mathematics, Geography and Atmospheric and Oceanic Sciences, contain offices, small classrooms, the Edward Rosenthal Library of Mathematics and Statistics, and the Walter Hitschfeld Environmental Earth Sciences Library.

Although this building has no ornament other than its pattern of fenestration, its outer shell is thought to blend well with the colour and texture of other campus structures. It is expected to serve McGill well into the future and to this end can be expanded by an additional five storeys.",Downtown Campus,"805 Sherbrooke St W, Montreal, Quebec H3A 2K6",45.50463395,-73.57491447,,McGill Archives,,image/jpg,,,,compound_object,/objects/cb005_01.jpg,/objects/cb005_01.jpg,/objects/cb005_01.jpg,
cb005_01,cb005,Burnside Hall,,,,,,,,,,,,,,,,,PS005005,,Image;StillImage,image/jpg,,,,image,/objects/cb005_01.jpg,/objects/cb005_01.jpg,/objects/cb005_01.jpg,
cb005_02,cb005,Construction site,,,,,,,,,,,,,,,,,PR034323,,Image;StillImage,image/jpg,,,,image,/objects/cb005_02.jpg,/objects/small/cb005_02_sm.jpg,/objects/thumbs/cb005_02_th.jpg,
cb005_03,cb005,Construction site,,,,,,,,,,,,,,,,,PS005005,,Image;StillImage,image/jpg,,,,image,/objects/cb005_03.jpg,/objects/cb005_03.jpg,/objects/cb005_03.jpg,
cb005_04,cb005,Burnside Hall,,,,,,,,,,,,,,,,,PR000122,,Image;StillImage,image/jpg,,,,image,/objects/cb005_04.jpg,/objects/small/cb005_04_sm.jpg,/objects/thumbs/cb005_04_th.jpg,
cb005_05,cb005,Burnside Hall and Macdonald Physics building,,,,,,,,,,,,,,,,,PS005005,,Image;StillImage,image/jpg,,,,image,/objects/cb005_05.jpg,/objects/cb005_05.jpg,/objects/cb005_05.jpg,
cb005_06,cb005,"Burnside, Otto Maass, and Roddick Gates",,,,,,,,,,,,,,,,,PS005045,,Image;StillImage,image/jpg,,,,image,/objects/cb005_06.jpg,/objects/cb005_06.jpg,/objects/cb005_06.jpg,
cb005_07,cb005,Burnside Hall with Roddick Gates,,,,,,,,,,,,,,,,,PS005045,,Image;StillImage,image/jpg,,,,image,/objects/cb005_07.jpg,/objects/cb005_07.jpg,/objects/cb005_07.jpg,
